,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
412,821813639212650496,0,3640,Wed Jan 18 20:16:54 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
413,821765923262631936,8941,1817,Wed Jan 18 17:07:18 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/maDNMETA52
414,821522889702862852,8531,1932,Wed Jan 18 01:01:34 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/REgCuirOhe
415,821421320206483457,0,6102,Tue Jan 17 18:17:58 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
416,821407182352777218,12511,4741,Tue Jan 17 17:21:47 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/Xn5AQtiqzG
417,821153421864615936,270,10,Tue Jan 17 00:33:26 +0000 2017,Twitter for iPhone,Original tweet,e
418,821149554670182400,9271,2196,Tue Jan 17 00:18:04 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/r8DxA8DYJ2
419,821107785811234820,10199,2320,Mon Jan 16 21:32:06 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/NmJVp6Ls4N
420,821044531881721856,13475,2500,Mon Jan 16 17:20:45 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/8whqFhaex4
421,820837357901512704,0,7312,Mon Jan 16 03:37:31 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
422,820749716845686786,33556,10809,Sun Jan 15 21:49:15 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/EMq8Ud6Ze1
423,820690176645140481,12975,3517,Sun Jan 15 17:52:40 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/NIYC820tmd
424,820494788566847489,0,617,Sun Jan 15 04:56:16 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
425,820446719150292993,0,2823,Sun Jan 15 01:45:15 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
426,820314633777061888,3544,617,Sat Jan 14 17:00:24 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/mtNwAQQEQ4
427,820078625395449857,21097,6862,Sat Jan 14 01:22:35 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/wJZlpGFEbD
428,820013781606658049,0,1294,Fri Jan 13 21:04:55 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
429,819952236453363712,5658,1294,Fri Jan 13 17:00:21 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/3UFtdZEa0l
430,819924195358416896,13691,5277,Fri Jan 13 15:08:56 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/XdRNXNYD4E
431,819711362133872643,14329,3423,Fri Jan 13 01:03:12 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/m5fYxrO3IU
432,819588359383371776,10179,2147,Thu Jan 12 16:54:26 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/52cItP0vIO
433,819347104292290561,7689,1316,Thu Jan 12 00:55:47 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/YGAv4jBs5A
434,819238181065359361,2429,440,Wed Jan 11 17:42:57 +0000 2017,Twitter Web Client,Original tweet,https://t.co/MefMAZX2uv
435,819227688460238848,24581,7312,Wed Jan 11 17:01:16 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/ii5eNX5LJT
436,819015337530290176,0,40080,Wed Jan 11 02:57:27 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
437,819015331746349057,0,20666,Wed Jan 11 02:57:26 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
438,819006400881917954,48080,20666,Wed Jan 11 02:21:57 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/YOC1fHFCSb
439,819004803107983360,92017,40080,Wed Jan 11 02:15:36 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/AdPKrI8BZ1
